id,ai_title,ai_turkish_title,ai_synopsis
441,"Thank You, Next",Kimler Geldi Kimler Geçti,"After a painful breakup, a young lawyer dives head first into the confusing world of modern dating, with the unwavering support of her best friends."
442,RU,RU,"An extraordinary love that lives against all odds in an Aegean coastal town... A 38-year-old woman and an 18-year-old man.

Uzer, who is in love with Reyan, 20 years older than him, appears as a gifted child whose mother is a cancer patient. Reyan, on the other hand, is married and runs a restaurant called 'Ru' with her husband. The series tells the story of Reyan and Uzer, who fall in love with each other regardless of the age difference, as they continue to pursue their love despite the environmental pressure."
443,The Family Burden,Yalan,"Melike, who is innocent, is convicted of killing her husband and is released after twenty years. Her only dream is to reunite with her daughter Hazal, whom she entrusted to her sister when she was a baby.

However, Melike is not only waiting for her daughter outside, but also a new prison woven with lies. As Melike uncovers the lies told to her one by one, she will also understand what kind of game she has fallen into.

While gradually approaching the girl who has been calling someone else her mother for years, she will also do her best to reveal the real killer of her husband. In this story woven with lies, the most conscientious will be the most ruthless, and the most loyal will be the real traitors. The series primarily focuses on a mother’s relationship with her daughters, it narrates a story formed around a difficult-to-unravel and necessary-to-maintain lie. The layers of this long-standing lie become even more intriguing with each new episode, revealing secrets and additional lies."
444,Doors of Destiny,Zamanın Kapıları,"Zamanın Kapıları is the fiery story of two remarkable people brought together by passion and a dark secret. Sinan is the charismatic and mysterious antisocial genius behind a top software company.

Nevra is an attractive, high-flying executive atop her father’s sprawling business empire. Each is a workaholic driven by personal demons few can understand.

When their paths cross, Sinan and Nevra find themselves embroiled in a passionate love affair, no one would have expected. But what is the dark secret that brought them together on the journey toward their roots? Can their love survive it?"
445,Daydreamers,Kavak Yelleri,"Four childhood friends, Aseel, Safi, Anas and Mira, who reside in Urla, Turkey, decide to migrate to Istanbul after facing difficulties and tribulation."
446,Dengeler: Biri Olmak,Dengeler: Biri Olmak,"Dengler, Ferit's story, describes a universe where all colors are polluted at the same speed, and priority is given to white."
447,Here Comes The Sun,Ayazın Sonu Güneş,"Güneş is a young woman who has just graduated from university and is about to go to London to pursue her ideals. She is forced to give up all her dreams when her brother is imprisoned as a result of a slander.

Vowing to save her brother from the hell he has fallen into, Güneş infiltrates the life of Ayaz, who she thinks is the cause of this situation. Ayaz is unaware that he will pay with love for the big mistake he caused while trying to protect the conglomerate he inherited and his loved ones.

While Ayaz, who has been used to living behind the walls he has built in his heart for years, breaks down these walls with the presence of Güneş, Güneş cannot avoid being caught between his feelings and revenge. Ayaz and Güneş will fight a battle in a journey woven with secrets, and love will be both their salvation and their captivity."
448,The Nightfall,Bir Gece Masalı,"Mahir, whose father was assassinated in the city of Denizli by Kürşat Kilimci, returns twenty years later as a police inspector, determined to avenge his father's death. On his first day back, he has a fateful encounter with a mesmerizing girl named Canfeza, the daughter of Kürşat, and instantly falls in love.

As Mahir searches for this mysterious woman, he also keeps a close watch on Kürşat, waiting for him to slip up. Mahir realizes his chance will come at the wedding of Kürşat's daughter. But what he doesn't know is that this event will change his life forever, marking the beginning of a night filled with unexpected twists."
449,A Journey To Belong,Bizi Birleştiren Hayat,"Münevver Hanım (Nilgün Kasapbaşoğlu), who comes from a noble family, lives with her veteran maid Suzan in her mansion, which is still ostentatious despite its age. One night, a little girl left at the door of the mansion by her older sister will completely change not only Münevver's life but also the lives of many others. Little Mine is Münevver's granddaughter, whose existence Münevver is unaware of.

Mrs. Münevver is surprised to see the necklace around Mine's neck and goes in search of her daughter, who has not called her for years. There are so many secrets and such a murder that when these are revealed, the lives of many people, including Münevver, will be turned upside down, orders will be disrupted, homes will fall apart, and nothing will ever be the same again.

Who left Mine at the door? What is the secret of the necklace around her neck? Where is Münevver Hanım's daughter, who left years ago saying that she hated her? As Münevver Hanım tries to find the answers to these questions, issues, and secrets that she never wanted and thought were completely covered up will come to light one by one."
450,Dark Legacy,Kötü Kan,"The series follows Kartal (Saban), a former police officer who gets into trouble with a dangerous mafia group while working as the security manager of a nightclub. When he is forced to move closer to his children after years of being away, Kartal navigates the challenges of escaping the mafia’s grip while also trying to be a father to his children.

Soon enough, the paths of Kartal, the ex-cop turned nightclub owner with two children, and Nazan, the mafia leader’s daughter waiting for her fiancé to be released from prison, cross. Despite all the death, betrayal, and dangers, our heroes will try to stand side by side, surviving in this den of wolves while learning to love and fall in love against all odds."
451,Leyla,Leyla: Hayat... Aşk... Adalet...,"Young Leyla's life spirals into disaster when her father, Hilmi, marries Nur, the beautiful young woman who once cared for Leyla’s late mother. Blinded by love, Hilmi doesn’t see the torment Leyla’s new stepmother inflicts on her, turning their home into a living nightmare.

Tragically, Hilmi realizes too late that Nur is not who she seems, paying for his mistake with his life. Left homeless and alone, Leyla swears revenge on the woman who destroyed her family and stole her life.

Years later, Leyla returns under the guise of Ela, a talented chef hired by Nur, who is now living in luxury with her new partner, former football star Tufo. But things take a complicated turn when Leyla's childhood savior, Cino, reappears in her life as Civan, Nur's adopted son. As Leyla's thirst for revenge clashes with her rekindled feelings for Civan, long-buried family secrets come to light, forcing everyone to confront the wreckage of their past."
452,Valley of Hearts,Siyah Kalp,"Sumru left the children she gave birth to at a young age and built a new life and family for herself. Melek and Nuh learn their mother's identity from their grandmother's final words and set out to find her.

Sumru, who is now married to one of Cappadocia's wealthiest businessmen, Samet, continues her lavish life with the children she had with him. However, she has different plans regarding Samet's son from his first marriage, Cihan. The paths of Melek and Nuh, who are seeking to confront their mother, will unexpectedly cross with Cihan and his reluctant fiancée, Sevilay."
453,Kör Nokta,Kör Nokta,"""Kor Nokta"" is the story of a war of justice that will be fought after a traffic accident in which the criminal and the criminal are mixed. But the winner and the loser of this war will have only one determining factor: love.

In the series, Aslım (Rabia Soytürk) is seriously injured in the accident. When she wakes up a month later, she experiences the shock of her life. Cihan (İsmail Ege Şaşmaz) will play Aslım’s childhood love, and Gece (Çağla Boz) will play Aslım’s best friend."
454,Deha,Deha,"Devran, a mathematical prodigy, has made a groundbreaking discovery in his doctoral thesis. He plans to go to U.S with his childhood love, Esme, after getting a university scholarship.

However, the only person Devran wants to impress with this success is his father Iskender, who abandoned his family years ago. While protecting his family from Iskender, Devran struggles to stop his younger brother, Boran, from getting involved with their father, who already has plans for Boran. Devran’s plans have to change after Boran enters Iskender’s world."
455,Loveberry,Karadut,"Zuhal Erdem, a personal development expert at the peak of her career, has achieved success through her consulting on love and relationships as well as her published books. However, despite her persona as a modern, urban and a beautiful woman, she is entirely different in the home that she shares with her father and sisters. At the age of just 17, after losing her mother due to a traumatic event, Zuhal's life was turned upside down.

She devoted herself to raising her three sisters and lived the life of her mother, who was in the grave, until she approached her 40s, never straying from the commands, service, or words of her strict and extremely obsessive father, Çetin. She has raised her younger sister Figen, who is just a few years younger than her, Aslı, who is in her 20s, and Begüm, who is still a high school student. The root of her chronic loneliness lies with her father.

To compensate for a mistake made in her youth, Zuhal made a promise to Çetin: she would be the mistress of the house and would not let her mother’s absence be felt. After years of loneliness, she meets Tayfun through her assistant, Eylem, and faces great difficulties for the sake of this relationship. She will go against her father Çetin and embark on a journey full of love and disappointments."
456,Land of Love,Güzel Aşklar Diyarı,"Deniz and Arhan, two young people from vastly different worlds, fall in love despite their different backgrounds. Deniz, a vibrant doctor from Izmir, becomes hopelessly entangled with Arhan, a hotelier from the mystical land of Cappadocia.

As their romance blossoms, Deniz is introduced to Arhan’s family, only to discover that their union is fraught with peril. Arhan’s powerful grandfather, Hakim, has already arranged his marriage to a woman from another prominent clan, and this clash of familial duty versus personal desire sets the stage for an explosive conflict.

Their impending wedding, meant to be a fairy tale celebration, turns into a nightmare when the evening ends in a shocking murder, leaving Deniz and Arhan’s love tainted by tragedy. With the city of Cappadocia in upheaval and Deniz branded as the source of their strife, Arhan vows to uncover the truth behind the murder, even as his own family’s opposition grows. As Deniz grapples with being unwanted and Arhan fights to prove the purity of their love, they face a tumultuous road ahead. Can their love withstand the tests of betrayal and scandal, or will the shadows of Cappadocia forever alter their fate?"
457,Kalpazan,Kalpazan,"The series follows the honest Adem (Timuçin Esen), who works as an ordinary clerk at the Mint. Adem turns his life upside down with a surprise he makes for his son, Arda.

What seems like an innocent gesture leads to an irreversible downfall in Adem’s life, bringing him to the brink of losing his job, his wife Canan (played by Şükran Ovalı), and even his son. Things take a further turn for the worse with the arrival of his charismatic yet cunning brother, Kartal (Çağlar Ertuğrul), during this difficult period.

As the two brothers challenge the law, the only person who can bring about their downfall is Police Officer Ayşe (Deniz Baysal). Kartal’s unexpected encounter with Ayşe and his subsequent love for her will shift the balance entirely."
458,Hidden Garden,Gizli Bahçe,"The series tells the story of Nazlı (Ebru Şahin), a poor, single, and young mother living with her son Memo. When Memo’s powerful and wealthy uncle, Demir Akçınar (Murat Yıldırım), learns that his late brother had a son, he sets out to gain custody of Memo.

Upon discovering Nazlı’s profession, Demir decides he cannot allow his nephew to be raised by such a woman. He launches a fierce battle to gain custody of Memo.

However, Nazlı, who finds herself caught in this struggle, is not the person Demir thinks she is—she has an even bigger secret. As Nazlı and Demir fight for Memo’s well-being, the Akçınar family's schemes, long-hidden secrets, and shadows of the past will complicate their growing but seemingly impossible love."
459,Uzak Şehir,Uzak Şehir,"Alya Albora arrives in Mardin with her late husband’s funeral and their five-year-old son to fulfill her husband’s last will. However, this arrival marks a point of no return, and there is no way out of Albora.

The head of the Albora tribe, Cihan Albora, is not indifferent to Alya’s struggles, but he refuses to let her take her child and leave. Confronting the darkness of the past, hidden secrets, and the harsh realities of the region, Alya Albora finds herself caught in a fierce struggle with her late husband’s family."
460,Six of Us,Sahipsizler,"A story of six siblings—Azize, Cemo, Zeliha, Fidan, Samet, and Balım—who, after suddenly losing their parents, struggle to stay united and survive. The roots of their tragedy trace back to their parents, Bala and Rıfat, whose forbidden love began in a village in Mardin.Rıfat, a teacher, falls in love with Bala, but Yavuz, the wealthy and obsessive son of Mardin’s richest family, kidnaps her.

Despite his abuse, Bala escapes with Rıfat, and they build a secluded life in the forest, raising six children in peace. However, Yavuz’s revenge shatters their world when he finds and attacks them.Fleeing to Istanbul, the siblings face the dangers of the city while seeking refuge with ""Uncle Aslan,"" their father’s trusted friend. The story highlights resilience, as the older siblings are forced to grow up quickly to protect their younger brothers and sisters in the face of overwhelming challenges."
461,Asaf,Asaf,Asaf tells the story of an ordinary Uber driver with strong moral values trying to find a way to get his life back on track after his separation with his wife and son. One day an unfortunate accident changes Asaf’s life forever as he becomes a pawn to wrong people
462,Esas Oğlan,Esas Oğlan,Two completely different women whose love lives are not going well come together and start looking for the right man for each other.
463,Doktorlar,Doktorlar,Doktorlar is a hospital series which is based on the US series Grey's Anatomy. The series deals with the lives and love of doctors.
464,Aşk Evlilik Boşanma,Aşk Evlilik Boşanma,"The series tells the story of three women whose only common ground is working at the same job. After the roles they assign themselves in their marriages are taken away, they must rely on each other to stay strong."
465,Promise of the Heart,Bir Yemin Ettim,"In the series, Kerim’s (Melih Özkaya) relationship with Ecrin (Merve Kansu), the daughter of the person he thinks is his father’s murderer, starts with hostility and moves to another level, and the two young people start working together to find the real murderer. Kerim and Ecrin, who become more attached to each other with every obstacle they encounter, soon fall into an impossible love."
466,My Mother’s Tale,Annem Ankara,"Zuhal Soydaşlı is a mother of three, married to Hasan,a man emotionally distant and shaped by a troubled childhood.

After discovering his infidelity, Zuhal, once a respected officer, struggles to rebuild her life and care for her children. Her journey through heartbreak, resilience, and the challenges of holding her family together forms the emotional core of this Turkish TV series."
467,Shahrazad: Tears of Istanbul,Sen Ağlama İstanbul,"Set in Istanbul, this series revolves around an impossible love. Şehrazat, a resilient and hopeful young woman studying in medical school, dreams of a bright future with her beloved Ferhat.

However, their lives are turned upside down when Ferhat is wrongfully sentenced to death. In a desperate attempt to save him from the gallows, Şehrazat turns to Büyükbey, a man known for his dark influence.

But there is a catch that she’s unaware of: no favor from Büyükbey comes without a price. As the unhappy marriage of Büyükbey’s daughter, Şirin, and his nephew, Kubat, intertwines with his plans to maintain his empire, everyone’s lives will be irrevocably changed, and nothing will ever be the same again."
468,Holding,Holding,"The glittering world of corporate plazas, which appears dazzling from the outside, is actually an arena where egos and ambitions clash. Women’s Freediving World Record Holder Aydan suddenly finds herself in this world and within a new family.

Her arrival unearths the family’s dark past and reveals the true faces of its members. What follows is a ruthless struggle for power within the family. Will Aydan stand tall, guided by her values and love, or will the lure of power and wealth poison her as well?"
469,Portrait of a Scandalous Family,Şakir Paşa Ailesi: Mucizeler ve Skandallar,"The series is based on the true story of the Şakir Paşa family, an Ottoman dynasty shattered by scandal only to give rise to some of the 20th century’s greatest artists. In 1911, Şakir Paşa was a retired Ottoman commander and history writer living on Büyükada, when his eldest son Cevat returned from Oxford with an Italian wife. They all lived together in the family villa, where the bohemian Cevat was increasingly at odds with his military father, who disapproved of Cevat’s wife and lifestyle.

But Cevat’s wife became infatuated with the older man, and he was unable to resist. So began a chain of events that tore the Şakir Paşa family apart – which is just the beginning of their remarkable story. In the decades to follow, Cevat Şakir became “The Fisherman of Halicarnassus,” one of Turkey’s most beloved writers.

Meanwhile, his glamourous sisters developed into thoroughly modern women and fixtures of Istanbul’s art scene. Fahrunnisa became an internationally renowned painter and went on to marry a prince and Aliye was wildly famous as Turkey’s first female engraver, but a tragic love affair brought them a life of misery. Later generations brought many more important artists whose work is known throughout the world."
470,Can Borcu,Can Borcu,"The series follows Mehmet, a successful lawyer, as he strives to reconnect with his estranged daughter, Doğa, following the death of his mother. Along the way, long-buried secrets come to light, threatening to upend their lives.

The delicate balance of the family is shattered when Celal’s hidden affair surfaces, creating turmoil. Meanwhile, his wife, Handan, unaware of the unravelling around her, fights to keep the family together against all odds."
471,Zembilli,Zembilli,"The series will tell the sweet and bitter events experienced by 4 friends born and raised in a town called Zembilli, with an emphasis on friendship and brotherhood."
472,Lovers Anonymous,Adsız Aşıklar,"Cem, scarred by a childhood that crushed his trust in love, is the invisible hero of Love Hospital, a place he established to cure those suffering from the ""love disease."" All of Cem's success and dreams now depend on Hazal, an unexpected presence in his life who, in stark contrast to him, believes that love will save the world."
473,Snowdrops,Kardelenler,"Hicran and Arif, a devoted couple married for 50 years, have dedicated their lives to raising their five children despite countless sacrifices and hardships. While Hicran's boundless love and Arif's unwavering principles held the family together, their children's selfish choices and betrayals led to heartbreak and chaos. A long-awaited reunion with their estranged son Onur takes a devastating turn, leaving the family shattered by loss and adversity.

Arif suffers a heart attack. The family's rush to take Arif to the hospital ends tragically in a car accident, where Onur and his wife lose their lives, and Arif falls into a coma. Rejected by their in-laws, Hicran is abandoned in a nursing home while Çınar and the children are left to fend for themselves.

Hicran, her youngest son Çınar, and her grandchildren must navigate a harsh new reality. As poverty and family conflicts intensify, Hicran and Arif's resilience and unconditional love become the foundation for their struggle to reunite their fractured family. In the face of betrayal and hardship, they strive to prove that no challenge is too great when it comes to the bonds of family."
474,Başka Bir Gün,Başka Bir Gün,"A Turkish remake of the British series 'Keeping Faith.' The series tells the story of Nehir, a lawyer who takes a break from her career to care for her children. Her seemingly happy marriage with her husband Serdar takes an unexpected turn when Serdar suddenly."
475,Bir Zamanlar İstanbul,Bir Zamanlar İstanbul,"Bir Zamanlar İstanbul brings to life a Köroğlu-style epic of two young individuals standing against the oppressors of their era. The story follows Ali, portrayed by Cihangir Ceyhan, and Seher, played by Alina Boz, whose quest for justice begins in school hallways and transforms them into a duo that shakes the balance of Istanbul’s criminal underworld.

Ali and Seher, students from different faculties of the same university, cross paths during a debate competition, arguing the question: “Is it society or personal choice that drives a person to crime?” Their shared ideals bring them together in a fight for love and justice. Against the mafia network that casts a shadow over Istanbul, these two young hearts will stand tall, like Köroğlu."
476,The Fall Of The King,Kral Kaybederse,"The series follows Kenan Baran, a successful businessman in a troubled marriage with his wife, Handan.

His affairs force her to confront her self-worth, while Kenan’s life is turned upside down by Fadi, a young woman from a poor background. Their relationship leads to a downfall that changes everything, exploring the power struggle between control and freedom."
477,Piyasa,Piyasa,"When Salih Akın, a powerful media tycoon, is found dead in the bed of Ahsen Çevik, a gossip reporter at one of his channels, a scandal erupts, leaving his wife Keriman and their children reeling. Years later, Keriman retreats into mental instability, while Ahsen struggles to rebuild her life. Salih’s son, Kenan, rises as a narcissistic actor, prioritizing fame and pleasure until he meets Münevver, a headscarf-wearing girl from a coastal town. Raised as the caretaker of her cancer-stricken mother and siblings, Münevver reluctantly agrees to an arranged marriage with wealthy Adar to ease her family’s burdens. Her mother dies during her henna night, and when Adar attempts to force himself on her, Münevver flees to Istanbul with Ahsen’s help.

Their paths collide when Kenan mistakes Münevver for his lover on set, leading to a photographed kiss and a public altercation. To salvage their reputations, they spin it as a scripted scene, and Münevver is thrust into acting. As Kenan battles a slanderous accusation and Münevver grapples with her crumbling marriage to Adar, an unexpected bond forms. Kenan, obsessed, hires Münevver’s brother Server as an assistant, sparking further entanglements—including Server’s romance with Kenan’s sister, Asu. Their secret love ignites amidst chaos: Keriman’s paranoia targets Münevver, Adar fights to reclaim her, and revelations unravel Kenan’s world—his father’s death was no affair but a violent assault on Ahsen.

As Server falls into addiction and misunderstandings tear them apart, Münevver loses everything: her faith, her family, and Kenan. Stripping off her headscarf, she emerges tough and fearless, ready to conquer the industry as the story restarts from its seeming end. A tale of love, betrayal, and transformation, “Piyasa” explores two souls—one jaded, one pure—whose collision blurs the lines between right and wrong, leaving them forever changed. Through the pen of Ahsen Çevik, the search for truth in this story uncovers a new secret with every line. And at the heart of these secrets stands Şefik Arzen, a lonely man caught between atoning for the past and committing the sins of the present. Meanwhile, Özge and Gani Ceylan find themselves entangled in a turbulent love story, torn between family ties and personal ambitions. As they are drawn deeper into the web of secrets, they, along with Münevver, are forced to confront the truths that will change their lives forever."
478,Bet Your Life,Bir İhtimal Daha Var,"An unusual and tragicomic journey of two souls, one lost in this world and the other in the afterlife... Isa, a sports betting writer for a newspaper, once took the betting world by storm and became a legend thanks to the talent he inherited from his father.

However, his predictions have recently started to fail, causing him to lose his job and gain enemies. Just as Isa loses all hope, he crosses paths with famous businessman Refik.

Refik is the only person who can save him from all his troubles, but there is one small problem: Refik is dead. As Refik's spirit offers a way out to Isa, whose life has been turned upside down, Isa sets out to find Refik's murderer and uncover the truth behind his death."
479,Eşref Rüya,Eşref Rüya,"As a child, Eşref fell in love from afar with a girl he called “Rüya” and spent years searching for her, only to become a powerful mafia figure along the way. Meanwhile, Nisan, an idealistic musician, finds herself in grave danger after performing at a wedding held at Eşref’s hotel.

Eşref falls for Nisan, unaware that she is both the long-lost Rüya he has been chasing for years and a police informant. Trapped in a whirlwind of love, betrayal, and power struggles, Eşref is forced into a brutal reckoning—both with his criminal empire and his own emotions."
480,Love of my Life,Hayatımın Aşkı,"Gökçe, a copywriter in her early thirties, is disheartened by her single status while her friends marry. She has a crush on her boss, Demir, a charming and successful man who is disillusioned with superficial relationships.

Unnoticed by Demir, Gökçe seeks advice from her best friend Kaan, who knows Demir well. Determined, Gökçe faces obstacles as she tries to win Demir’s heart."
481,El Turco,El Turco,"The Battle of Vienna marked the end of the Ottoman Empire’s westward expansion – and, for one janissary, a whole new life. Before the battle was lost, Balaban Aga was condemned to death in a brutal act of betrayal.

He manages to escape but is gravely injured. When Balaban comes to, it’s in the remote village of Moena, high in the Italian Alps.

The woman who nurses him back to health is but the first of many villagers to show Balaban kindness, and before long he settles into his new home. “El Turco” becomes a protector of the village, helping them resist their feudal lord’s brutal taxes. Things escalate until one of his old enemies, the ruthless knight Marco, turns up, and Balaban must assemble a team for the final showdown. A witch turns into a healer, a homeless girl becomes the first female janissary, and a one-armed blacksmith emerges as the village savior to help El Turco fight for Moena."
482,Sustalı Ceylan,Sustalı Ceylan,"Ceylan is a young, beautiful, and impoverished woman who was forced into marriage at an early age. A mother to little Yusuf, she endures her unemployed, deceitful, and crude husband, Necmi, solely for the sake of her son. Seven-year-old Yusuf is intelligent, charming, and kind-hearted. Meanwhile, Ceylan secretly attends a vocational health school, planning to escape once she graduates.

The only person who refuses to turn a blind eye to the violence and misery Ceylan and her son suffer at Necmi’s hands is his elderly father, Veysi. To support her family and continue her education, Ceylan works as a housekeeper and caregiver for the elderly mother of Atmaca Bekri—one of the underground world’s most powerful figures. Atmaca juggles two separate lives: one in his grand mansion with his wife, Muteber, and their two children, and another with his young lover, Dilara. The one person Atmaca trusts unconditionally is his right-hand man and loyal friend, Ferhat.

Ferhat is fearless, intelligent, and dangerously charismatic—a man who takes revenge in his own unique ways. When his path unexpectedly crosses with Ceylan’s, he is instantly captivated by her beauty. But their fateful encounter takes a dark turn when Yusuf falls into the hands of an organ trafficking ring and loses a kidney. From that moment on, Ceylan vows to seek justice for her son, and Ferhat becomes her greatest ally in this ruthless battle."
483,Istanbul Encyclopedia,İstanbul Ansiklopedisi,"As Zehra searches for her true identity and a home in İstanbul, Nesrin is ready to sever all ties with the city. Centered around İstanbul, İstanbul Encyclopedia depicts the story of Zehra and Nesrin's intersecting lives despite their differences."
484,Çift Kişilik Oda,Çift Kişilik Oda,"Çift Kişilik Oda centers on Nilüfer (Devrim Özkan), who has dreamed of working at the Lutesya Hotel, built by her late parents, ever since she lost them at a young age.

As Nilüfer works her way up to living her dreams, one of the hotel’s heirs, Kaan (Ulaş Tuna Astepe), returns after years away—seeking revenge against his domineering stepsister Sevil (Gözde Seda Altuner), who has long ruled over the hotel. When Nilüfer and Kaan’s paths cross, nothing will ever be the same for either of them."
485,Reminder,Aşkı Hatırla,"Six months after their painful breakup on the verge of marriage, Güneş and Deniz receive the same cryptic message naming them co-inheritors of a mysterious house in Cappadocia. Güneş, a social media star, hopes the inheritance will fund her sister’s dreams.

Deniz joins only to keep her from someone else. As they navigate this unexpected journey, they must confront the past and decide if love still has a place in their future."
486,Aile Saadeti,Aile Saadeti,"In the story that opens the doors of a century-old mansion, the paths of three different families, who don't even know they are third-degree relatives, intersect.

The characters who come to the mansion, burdened by the past and their unfinished emotions, pay the price of staying under the same roof by learning to heal together. Each of them comes from a different place, but they all come to remember what it truly means to be a family."
487,The Other Wife,Kuma,"In the rugged landscapes of eastern Turkey, Ceylan, unjustly accused of murder, becomes entangled in an intricate web of family obligations as the second wife, or ‘Kuma,’ of Karan – the man she loves and who is also the brother of the deceased.

Confronting the challenges of her new role, she desperately seeks to prove her innocence, weaving a tale of pain and passion in hopes of winning her freedom and her husband’s affection. Kuma is a story that unravels family ties, defying the deepest shadows with the power of love and truth."
488,Love And Hope,Aşk ve Umut,"Zeynep moves to the city for university, unaware that her father, an attorney helping her jailed mother, is alive.

She falls for Ege, not knowing Melis, her half-sister, loves him too. Kuzey, Melis’ cousin, struggles with his relationship, while Elif, seeking revenge on his girlfriend Handan, manipulates her way into Kuzey’s life to win his love."
489,Letters From The Past,Geleceğe Mektuplar,"In 2003, Fatma Ayar, a teacher at a private high school, assigned her Literature Club students to write letters to themselves as part of PTT's ""Letters from the Past"" campaign.

These letters, intended to be delivered in 2023, were accidentally discovered by Fatma Ayar's daughter, Elif. As these forgotten letters resurface and impact the lives of their original recipients, Elif also faces a truth that will drastically change her own life."
490,Benim Adım Gültepe,Benim Adım Gültepe,"A neighborhood where every street tells a different story, a different struggle for survival, heartbreaking disappointments, a search for hope, families in conflict, forbidden loves, and unrequited passions. All of this and more will be witnessed through the eyes of four close friends living in the neighborhood: Seyfi, Gülali, Fevzi, and Murat.

Gülümser (Ayça Bingöl) is the mother of Gülali, one of these four children. Despite everything, Gülümser tries to stand on her own two feet and care for her son.

However, she cannot escape a forbidden and secret love affair with the neighborhood's handsome and tough minibus driver, Halil. Halil is also in love with Gülümser. He wants to build a life with her. Eşref (Mete Horozoğlu) is the neighborhood's big brother, both feared and respected."
491,Acil Aşk Aranıyor,Acil Aşk Aranıyor,"A young doctor named Nisan moves to Istanbul, but she doesn't know that the doctor she is gonna be working with is living in the same building as her.

As the story goes on their friendship as well as their love grows. Although Nisan is unbearable sometimes, Sinan sees the good in her and falls in love."
492,Bitter Justice,Aşka Mahkum,"While counting the days to become a kindergarten teacher, Dünya’s life changes overnight after a tragedy at the construction site where her father works. Under the pressure of merciless businessman Noyan Erim, she finds herself trapped in his mansion.

Separated from her family, she struggles to survive behind closed doors amid hostility, obsession, and secret alliances, fighting to protect her loved ones while searching for a path to freedom. Noyan’s right hand man Sinan risks everything to shield her from Noyan’s escalating cruelty, and an unspoken closeness grows between them. Yet their love is tested by the wounds of the past and the intrigues that haunt the mansion."
493,Dynasty of Love,Veliaht,"Zülfükar Karslı, who is beginning to lose his former power at the bus station and is searching for an heir to succeed him instead of his son, crosses paths with Timur, a travelling repairman struggling with debts left by his father. This encounter will fundamentally change everyone's lives, especially Zülfükar Karslı's son Zafer, and his daughters Kudret, Derya, and Cennet.

Timur, who steps into the bus station as Zafer Karslı, must also play the role of husband and wife with Zafer's wife Reyhan. However, the act will gradually turn into reality, and the two captives in the Karslı Mansion, Timur and Reyhan, will have to fight for their love in this world woven with lies."
494,Waves of Love,Gözleri KaraDeniz,"A principled sea captain, Azil, returns home from a long voyage-only to be pulled into a deadly web of power, betrayal, and buried bloodlines when he unknowingly disrupts his half-brother Mehmet's criminal operations and comes face-to-face with the powerful father, Osman, who once abandoned him-and Gunes, the woman he has fallen for, who now belongs to the very family he never knew he was part of."
495,Reborn,Çarpıntı,"The series begins with a single, life-saving moment: Aslı Güneş (Lizge Cömert), a young woman born with a serious heart condition, receives the heart of Melike Alkan — the beloved daughter of a powerful family, killed in a car accident. For Reyhan Alkan (Sibel Taşçıoğlu), Melike’s grieving mother, Aslı becomes more than a survivor — she becomes the living reminder of her lost child. Drawn to her, Reyhan welcomes Aslı into her life, searching for solace in her presence. But Hülya Güneş (Deniz Çakır), Aslı’s own mother, a sharp-eyed opportunist, sees the Alkan family’s grief as a doorway to influence and wealth.

Aras Alkan (Kerem Bürsin), Melike’s protective cousin, is determined to keep Aslı and Hülya away, convinced they cannot be trusted. He quickly turns Aslı into an enemy. Yet, as time passes, Aras discovers that Aslı is nothing like her mother, and the hostility between turns into an unexpected and passionate love. While this dangerous romance unfolds, the question of Melike’s death lingers.

Was it truly an accident — or the result of something far more sinister? As secrets rise to the surface, all lives will be changed forever. The series asks: Who gets to decide whom you call “mother” — fate or you? Is a mother the one who gives you life, or the one who stands by you?"
496,Cennetin Çocukları,Cennetin Çocukları,"Iskender was a feared gangster in the dark alleys of Istanbul, known for his own rough code of honor—until betrayal left him bleeding and stripped of everything he had built. When he opens his eyes in a quiet Aegean town, he finds himself surrounded by warmth he has never known: a caring mother, a blind little sister, a home that feels like it was always his.

The townspeople believe he is Kamil, a long-lost son returned; only he knows the truth. But the past never lets go—old enemies, blood feuds, and the ghosts of his choices haunt him still.

As he uncovers a shocking secret—that this family is bound to him by blood—Iskender stands at a crossroads. Revenge or redemption? Will he remain the ruthless survivor the streets created, or dare to become the man he was meant to be? This is a story of love, betrayal, and the price of becoming truly human."
497,The Graft,Kaosun Anatomisi,"The series, which will appeal to fans of crime, drama, and action, will take viewers to the edge of a dark and hopeless world. It will tell the story of the transformation experienced by idealistic young doctor Ozan, who works in the emergency room, and Kenan, one of Turkey's most powerful illegal leaders, after their paths unexpectedly cross."
